Date,Time,PlotCode,Crop,PlantNumber,LeafTemperature,PlantHeight,SPAD,Treatment,CropTreatment
02.05.2019,NaT,IC1,Maize,1,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,2,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,3,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,4,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,5,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,6,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,7,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,8,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,9,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Maize,10,NaN,NaN,NaN,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,1,48.4,10,43.7,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,2,52.7,12,44.1,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,3,51.6,9.5,40.8,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,4,39.2,10,40.1,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,5,37.6,9,38,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,6,37.6,9.5,38.7,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,7,32,11,39.2,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,8,51.2,11,39,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,9,51.8,8.5,39.4,Flat,Intercrop
02.05.2019,NaT,IC1,Cowpea,10,49,10,39.8,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,1,53,30,25,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,2,44.2,30,23.6,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,3,43,25,25,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,4,43.2,40,25.3,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,5,47.2,23,26.1,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,6,42.9,22,26.1,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,7,45.9,30,25.9,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,8,39.7,29,25.7,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,9,38.5,38,25.7,Flat,Intercrop
14.05.2019,NaT,IC1,Maize,10,38.7,26,27,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,1,34.1,23,35.2,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,2,33.1,18,44.9,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,3,32.6,24,39.9,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,4,34.6,20,42.1,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,5,31.1,22,39.3,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,6,29.6,19,40,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,7,33,20,40.9,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,8,28.2,17,40.5,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,9,25.4,23,40.1,Flat,Intercrop
14.05.2019,NaT,IC1,Cowpea,10,27.3,20,40.1,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,1,20.1,68,40.3,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,2,22.3,54,49.2,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,3,21.7,62,40.1,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,4,21.2,77,41.7,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,5,21.9,57,41.6,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,6,21.5,46,42.3,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,7,21.4,62,42.8,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,8,21,58,42.6,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,9,21.1,69,42.1,Flat,Intercrop
26.05.2019,12:02,IC1,Maize,10,21.1,62,42.4,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,1,22.2,33,47.8,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,2,25,30,47.6,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,3,22.2,36,46.6,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,4,22.7,30,47.5,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,5,21.8,35,48.4,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,6,21.3,27,48.8,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,7,20.6,33,49.6,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,8,17,32,49,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,9,15.2,36,49.4,Flat,Intercrop
26.05.2019,12:02,IC1,Cowpea,10,15.9,28,48.5,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,1,32,117,37,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,2,40.1,114,38.1,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,3,36.2,116,38.6,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,4,41.1,157,39.5,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,5,39.8,137,38.9,Flat,Intercrop
19.06.2019,11:09,IC1,Maize,6,35.3,152,39,Flat,Intercrop
