Time,AirTC,RH,Rain,WS,WD,WDSD1,Srad,pressmb
15-Mar-2019 00:00:00,19.65,81.7,0,0,0,0,0.061,897
15-Mar-2019 00:30:00,19.09,82.9,0,0,0,0,0.089,897
15-Mar-2019 01:00:00,18.5,84,0,0,0,0,0.095,896
15-Mar-2019 01:30:00,17.84,85.3,0,0,0,0,0.095,896
15-Mar-2019 02:00:00,17.57,85.9,0,0,0,0,0.062,896
15-Mar-2019 02:30:00,17.69,84.9,0,0,0,0,0.095,896
15-Mar-2019 03:00:00,17.25,88.2,0,0,0,0,0.106,896
15-Mar-2019 03:30:00,17.68,88.1,0,0,0,0,0.059,896
15-Mar-2019 04:00:00,18,90.7,0,0.851,61.11,0.707,0.073,895
15-Mar-2019 04:30:00,17.86,92.8,0,0.765,58.89,0.503,0.073,895
15-Mar-2019 05:00:00,17.61,94.1,0,0.538,57.45,0.163,0.084,896
15-Mar-2019 05:30:00,17.31,94.4,0,0.406,57.1,0.014,0.062,896
15-Mar-2019 06:00:00,16.76,93.7,0,0,0,0,0.084,896
15-Mar-2019 06:30:00,15.63,94.7,0,0,0,0,0.789,896
15-Mar-2019 07:00:00,16.1,95.5,0,0,0,0,14.53,897
15-Mar-2019 07:30:00,17.77,92,0,0,0,0,122.7,897
15-Mar-2019 08:00:00,20.44,84.8,0,0,0,0,241.4,897
15-Mar-2019 08:30:00,22.27,74.19,0,0.33,56.46,0.445,360.6,897
15-Mar-2019 09:00:00,23.22,66.91,0,1.259,51.88,10.34,479.6,898
15-Mar-2019 09:30:00,24.85,62.7,0,1.209,40.8,9.43,614.2,898
15-Mar-2019 10:00:00,25.8,59.99,0,1.707,30.86,17.04,691.6,898
15-Mar-2019 10:30:00,27.07,50.54,0,1.667,37.12,17.62,571.7,898
15-Mar-2019 11:00:00,28.69,43.79,0,1.753,49.9,25.76,499.8,897
15-Mar-2019 11:30:00,29.78,35.7,0,2.405,31.38,17.71,688.1,897
15-Mar-2019 12:00:00,30.85,34.43,0,2.327,25.74,16.88,986,896
15-Mar-2019 12:30:00,31.64,37.37,0,2.714,12.29,27.61,958,896
15-Mar-2019 13:00:00,31.71,34.47,0,2.749,16.01,16.54,1014,895
15-Mar-2019 13:30:00,32.38,31.77,0,2.793,19.53,28.62,1000,895
15-Mar-2019 14:00:00,32.41,33.55,0,3.187,22.38,16.68,964,894
15-Mar-2019 14:30:00,32.69,34.87,0,3.117,26.35,15.62,912,894
15-Mar-2019 15:00:00,32.8,33.6,0,2.856,33.6,22.76,837,893
15-Mar-2019 15:30:00,33.39,32.33,0,2.503,35.07,17.4,731.1,893
15-Mar-2019 16:00:00,32.89,32.84,0,2.619,29.59,20.96,649.3,893
15-Mar-2019 16:30:00,32.53,33.49,0,2.858,21.38,20.8,543.4,893
15-Mar-2019 17:00:00,31.84,35.27,0,3.033,17.33,12.68,427.7,893
15-Mar-2019 17:30:00,31.24,36.74,0,2.764,22.78,10.28,305,893
15-Mar-2019 18:00:00,30.32,39.73,0,2.522,33.58,9.6,167,894
15-Mar-2019 18:30:00,28.79,42.11,0,2.122,40.62,8.5,21.78,894
15-Mar-2019 19:00:00,27.95,43.88,0,1.878,35.4,6.156,4.6,894
15-Mar-2019 19:30:00,27.21,46.57,0,1.407,43.35,3.485,0.05,894
15-Mar-2019 20:00:00,26.49,48.28,0,0.89,50.75,3.405,0.084,895
15-Mar-2019 20:30:00,25.67,51.13,0,0.376,48.49,0.603,0.078,895
15-Mar-2019 21:00:00,24.71,66.6,0,1.51,87.4,13.09,0.078,895
15-Mar-2019 21:30:00,23.88,67.99,0,0.883,97.1,1.146,0.059,895
